renderer,variant,template,asset_mode,scenario,phase,measured,attempt,concurrency,cold_label,duration_seconds,attempted,successful,failures,timeouts,p50_ms,p95_ms,p99_ms,mean_ms,stddev_ms,cv_pct,peak_in_flight,average_in_flight,worker_utilization_pct,mean_pdf_bytes,attempted_throughput,successful_throughput,application_peak_rss_bytes,application_cpu_utilization_pct,render_service_peak_memory_bytes,render_service_cpu_utilization_pct,observed_cpu_utilization_pct,render_service_peak_active_requests,render_service_peak_queue_size,declared_concurrency_limit,over_declared_concurrency
browsershot,default,modern-invoice,portable,first,first,true,1,1,"fresh browser per render",0.473255,1,1,0,0,470.429,470.429,470.429,470.429,,,1,0.99402858923836,99.402858923836,160537,2.1130257472187,2.1130257472187,639508480,55.995182301296,,,55.995182301296,,,,
browsershot,default,modern-invoice,portable,concurrency-1,measured,true,1,1,"fresh browser per render",45.931758,100,100,0,0,456.921,504.144,543.253,458.79322,29.979459295459,6.5344163750848,1,0.99885839335825,99.885839335825,160537,2.1771428822733,2.1771428822733,644812800,1.0450285834912,,,1.0450285834912,,,,
browsershot,default,modern-invoice,portable,warmup,warmup,false,1,1,"fresh browser per render",2.221826,5,5,0,0,452.962,463.171,463.171,443.166,22.524881542419,5.0827187876369,1,0.99730131882515,99.730131882515,160537,2.2504012465423,2.2504012465423,633401344,12.152166731328,,,12.152166731328,,,,
browsershot,default,simple-invoice,portable,first,first,true,1,1,"fresh browser per render",0.461875,1,1,0,0,457.3,457.3,457.3,457.3,,,1,0.99009472259811,99.009472259811,62885,2.1650879566982,2.1650879566982,605540352,50.879566982409,,,50.879566982409,,,,
browsershot,default,simple-invoice,portable,concurrency-1,measured,true,1,1,"fresh browser per render",44.625683,100,100,0,0,446.752,489.028,505.905,445.81838,28.442186930855,6.3797699257834,1,0.99901749402917,99.901749402917,62885,2.2408620614277,2.2408620614277,644046848,0.89634482457109,,,0.89634482457109,,,,
browsershot,default,simple-invoice,portable,warmup,warmup,false,1,1,"fresh browser per render",2.355219,5,5,0,0,471.268,500.275,500.275,469.7664,26.737180700291,5.6915906927977,1,0.99728815027392,99.728815027392,62885,2.1229448301835,2.1229448301835,637833216,11.676196566009,,,11.676196566009,,,,
browsershot-persistent,persistent,modern-invoice,portable,first,first,true,1,1,"first connection to persistent browser",0.420617,1,1,0,0,415.674,415.674,415.674,415.674,,,1,0.9882482163108,98.82482163108,162150,2.3774597793242,2.3774597793242,139980800,33.284436910539,231878656,27.502216981244,60.786653891783,,,,
browsershot-persistent,persistent,modern-invoice,portable,concurrency-1,measured,true,1,1,"first connection to persistent browser",39.967731,100,100,0,0,395.77,452.169,471.644,399.09176,29.024370501224,7.2726058040447,1,0.99853494310197,99.853494310197,162150,2.5020184408267,2.5020184408267,152526848,0.87570645428934,416722944,34.729742351398,35.605448805688,,,,
browsershot-persistent,persistent,modern-invoice,portable,warmup,warmup,false,1,1,"first connection to persistent browser",1.967462,5,5,0,0,376.794,466.029,466.029,392.1956,42.497511895404,10.835795173481,1,0.99670438361707,99.670438361707,162150,2.5413451441502,2.5413451441502,152752128,7.6240354324505,280027136,31.557153327485,39.181188759935,,,,
browsershot-persistent,persistent,simple-invoice,portable,first,first,true,1,1,"first connection to persistent browser",0.415099,1,1,0,0,414.573,414.573,414.573,414.573,,,1,0.99873283240865,99.873283240865,62990,2.4090638618739,2.4090638618739,140238848,33.726894066235,194834432,16.382838792674,50.109732858908,,,,
browsershot-persistent,persistent,simple-invoice,portable,concurrency-1,measured,true,1,1,"first connection to persistent browser",39.156215,100,100,0,0,384.657,433.827,454.592,391.0311,24.147211176156,6.1752661555962,1,0.99864376574702,99.864376574702,62990,2.5538729930868,2.5538729930868,148553728,0.70231507309887,417325056,34.498845202479,35.201160275578,,,,
