renderer,variant,template,asset_mode,scenario,phase,measured,attempt,concurrency,cold_label,duration_seconds,attempted,successful,failures,timeouts,p50_ms,p95_ms,p99_ms,mean_ms,stddev_ms,cv_pct,peak_in_flight,average_in_flight,worker_utilization_pct,mean_pdf_bytes,attempted_throughput,successful_throughput,application_peak_rss_bytes,application_cpu_utilization_pct,render_service_peak_memory_bytes,render_service_cpu_utilization_pct,observed_cpu_utilization_pct,render_service_peak_active_requests,render_service_peak_queue_size,declared_concurrency_limit,over_declared_concurrency
cloudflare,default,modern-invoice,portable,first,first,true,1,1,"first observed API request",0.488699,1,1,0,0,483.547,483.547,483.547,483.547,,,1,0.98945772346577,98.945772346577,206819,2.0462493272955,2.0462493272955,63905792,1.2789058295597,,,1.2789058295597,,,,
cloudflare,default,modern-invoice,portable,concurrency-1,measured,true,1,1,"first observed API request",52.50398,100,100,0,0,501.631,736.473,980.202,523.67229,110.5315900211,21.107015232961,1,0.99739541649985,99.739541649985,206819,1.9046175166149,1.9046175166149,112742400,1.3260899459431,,,1.3260899459431,,,,
cloudflare,default,modern-invoice,portable,concurrency-2,measured,true,1,2,"first observed API request",25.890993,100,100,0,0,476.725,669.187,944.272,504.09858,117.8812790783,23.38456876397,2,1.9470036549004,97.350182745019,206819,3.8623470331941,3.8623470331941,177815552,2.4960417702017,,,2.4960417702017,,,,
cloudflare,default,modern-invoice,portable,concurrency-4,measured,true,1,4,"first observed API request",14.806303,100,100,0,0,480.43,811.114,951.754,523.10492,142.9485413146,27.326934970255,4,3.5329880794686,88.324701986715,206819,6.7538804251135,6.7538804251135,302108672,3.7230765843438,,,3.7230765843438,,,,
cloudflare,default,modern-invoice,portable,concurrency-8,measured,true,1,8,"first observed API request",5.435545,100,52,48,0,486.687,656.795,818.474,494.78525,90.446779399599,18.280007215171,8,6.1225238683517,76.531548354397,206819,18.397419210033,9.5666579892173,547946496,10.164574113543,,,10.164574113543,,,,
cloudflare,default,modern-invoice,portable,warmup,warmup,false,1,1,"first observed API request",2.53695,5,5,0,0,518.808,658.584,658.584,505.7714,102.10674842683,20.188319945895,1,0.99680994895445,99.680994895445,206819,1.9708705335147,1.9708705335147,67026944,1.4288811367981,,,1.4288811367981,,,,
cloudflare,default,simple-invoice,portable,first,first,true,1,1,"first observed API request",0.2954,1,1,0,0,294.275,294.275,294.275,294.275,,,1,0.99619160460393,99.619160460393,79160,3.385240352065,3.385240352065,63467520,2.5389302640487,,,2.5389302640487,,,,
cloudflare,default,simple-invoice,portable,concurrency-1,measured,true,1,1,"first observed API request",38.690183,100,100,0,0,377.256,503.512,587.798,385.91778,70.827823802069,18.353086453303,1,0.9974565899572,99.74565899572,79160,2.5846349705816,2.5846349705816,78299136,1.6703203497383,,,1.6703203497383,,,,
cloudflare,default,simple-invoice,portable,concurrency-2,measured,true,1,2,"first observed API request",21.285455,100,100,0,0,374.62,641.88,716.965,405.89564,102.40446964298,25.229260812699,2,1.9069154969908,95.345774849539,79160,4.6980438050302,4.6980438050302,142323712,2.7777183997241,,,2.7777183997241,,,,
cloudflare,default,simple-invoice,portable,concurrency-4,measured,true,1,4,"first observed API request",10.67573,100,100,0,0,358.903,627.547,778.486,394.54639,108.17092720973,27.416529450371,4,3.6957321888058,92.393304720146,79160,9.3670409423993,9.3670409423993,270442496,5.4680101501256,,,5.4680101501256,,,,
cloudflare,default,simple-invoice,portable,concurrency-8,measured,true,1,8,"first observed API request",3.56174,100,41,59,0,369.432,507.543,878.713,382.75675609756,97.39419789489,25.445454937983,8,6.176059454087,77.200743176088,79160,28.076165020468,11.511227658392,517361664,11.160275595636,,,11.160275595636,,,,
cloudflare,default,simple-invoice,portable,warmup,warmup,false,1,1,"first observed API request",1.893645,5,5,0,0,357.591,495.24,495.24,377.088,72.051488402392,19.107340568353,1,0.99566708649192,99.566708649192,79160,2.6404104253965,2.6404104253965,64749568,1.7162667765077,,,1.7162667765077,,,,
