renderer,variant,template,asset_mode,scenario,phase,measured,attempt,concurrency,cold_label,duration_seconds,attempted,successful,failures,timeouts,p50_ms,p95_ms,p99_ms,mean_ms,stddev_ms,cv_pct,peak_in_flight,average_in_flight,worker_utilization_pct,mean_pdf_bytes,attempted_throughput,successful_throughput,application_peak_rss_bytes,application_cpu_utilization_pct,render_service_peak_memory_bytes,render_service_cpu_utilization_pct,observed_cpu_utilization_pct,render_service_peak_active_requests,render_service_peak_queue_size,declared_concurrency_limit,over_declared_concurrency
bladepdf,default,javascript-chart,portable,representative,fidelity,false,1,1,"first observed API request",0.708983,1,1,0,0,707.896,707.896,707.896,707.896,,,1,0.9984668179632,99.84668179632,60283,1.4104710550182,1.4104710550182,64299008,1.234162173141,,,1.234162173141,,,8,false
bladepdf,default,local-assets,documented-remediation,representative,fidelity,false,1,1,"first observed API request",0.579097,1,1,0,0,575.487,575.487,575.487,575.487,,,1,0.9937661566197,99.37661566197,61981,1.726826421135,1.726826421135,70324224,1.5109731184931,,,1.5109731184931,,,8,false
bladepdf,default,local-assets,native-path,representative,fidelity,false,1,1,"first observed API request",0.556171,1,1,0,0,402.959,402.959,402.959,402.959,,,1,0.72452357278607,72.452357278607,60229,1.7980081665531,1.7980081665531,70889472,4.944522458021,,,4.944522458021,,,8,false
bladepdf,default,long-report,portable,representative,fidelity,false,1,1,"first observed API request",0.626117,1,1,0,0,623.669,623.669,623.669,623.669,,,1,0.99609018761669,99.609018761669,364059,1.5971455814169,1.5971455814169,64528384,1.3975023837398,,,1.3975023837398,,,8,false
bladepdf,default,modern-invoice,portable,representative,fidelity,false,1,1,"first observed API request",0.546641,1,1,0,0,543.299,543.299,543.299,543.299,,,1,0.9938862983201,99.38862983201,160537,1.8293541830927,1.8293541830927,65064960,1.8293541830927,,,1.8293541830927,,,8,false
bladepdf,default,modern-invoice,portable,first,first,true,1,1,"first observed API request",0.681943,1,1,0,0,677.576,677.576,677.576,677.576,,,1,0.99359623898185,99.359623898185,160537,1.4663982180329,1.4663982180329,64442368,0.73319910901644,,,0.73319910901644,,,8,false
bladepdf,default,modern-invoice,portable,sequential,measured,true,1,1,"first observed API request",23.407944,50,50,0,0,458.338,525.573,593.946,467.10258,40.527092236509,8.6762724017729,1,0.99774371469788,99.774371469788,160537,2.1360269829764,2.1360269829764,86675456,1.2709360548709,,,1.2709360548709,,,8,false
bladepdf,default,modern-invoice,portable,concurrency-5,measured,true,1,5,"first observed API request",10.107372,100,100,0,0,490.567,585.855,628.665,496.68802,47.570410140432,9.5775231583866,5,4.9141163499276,98.282326998551,160537,9.8937686274929,9.8937686274929,369303552,6.6782938235577,,,6.6782938235577,,,8,false
bladepdf,default,modern-invoice,portable,concurrency-10,measured,true,1,10,"first observed API request",6.430593,100,100,0,0,610.756,754.583,977.653,624.6107,78.363425571133,12.545962720641,10,9.7131119944926,97.131119944926,160537,15.550665389646,15.550665389646,691793920,10.049617508059,,,10.049617508059,,,8,true
bladepdf,default,modern-invoice,portable,warmup,warmup,false,1,1,"first observed API request",2.65793,5,5,0,0,528.599,588.945,588.945,529.2898,41.247628534256,7.7930140603987,1,0.99568047315016,99.568047315016,160537,1.8811631608056,1.8811631608056,67338240,1.5519596076646,,,1.5519596076646,,,8,false
