renderer,variant,template,asset_mode,scenario,phase,measured,attempt,concurrency,cold_label,duration_seconds,attempted,successful,failures,timeouts,p50_ms,p95_ms,p99_ms,mean_ms,stddev_ms,cv_pct,peak_in_flight,average_in_flight,worker_utilization_pct,mean_pdf_bytes,attempted_throughput,successful_throughput,application_peak_rss_bytes,application_cpu_utilization_pct,render_service_peak_memory_bytes,render_service_cpu_utilization_pct,observed_cpu_utilization_pct,render_service_peak_active_requests,render_service_peak_queue_size,declared_concurrency_limit,over_declared_concurrency
browsershot,default,modern-invoice,portable,first,first,true,1,1,"fresh browser per render",0.448112,1,1,0,0,443.644,443.644,443.644,443.644,,,1,0.99002927839469,99.002927839469,160537,2.2315849609026,2.2315849609026,640745472,17.852679687221,,,17.852679687221,,,,
browsershot,default,modern-invoice,portable,concurrency-1,measured,true,1,1,"fresh browser per render",46.498225,100,100,0,0,466.849,511.285,516.914,464.12807,32.257154177037,6.9500545780471,1,0.99816298364077,99.816298364077,160537,2.1506197279574,2.1506197279574,651337728,0.45700669219094,,,0.45700669219094,,,,
browsershot,default,modern-invoice,portable,concurrency-2,measured,true,1,2,"fresh browser per render",19.221477,100,100,0,0,382.817,419.401,425.119,383.59999,18.652768939788,4.862557201784,2,1.9956842546491,99.784212732455,160537,5.2025138338745,5.2025138338745,1295970304,1.0535090513596,,,1.0535090513596,,,,
browsershot,default,modern-invoice,portable,concurrency-4,measured,true,1,4,"fresh browser per render",10.822155,100,100,0,0,428.554,460.353,462.78,432.06937,17.324363817757,4.0096255417867,4,3.9924522426448,99.811306066121,160537,9.2403038027084,9.2403038027084,2555187200,2.6219362040185,,,2.6219362040185,,,,
browsershot,default,modern-invoice,portable,concurrency-8,measured,true,1,8,"fresh browser per render",8.712901,100,100,0,0,683.64,753.7,765.931,677.80861,63.449403546304,9.3609615767944,8,7.7793677444516,97.242096805645,160537,11.477233587298,11.477233587298,5145522176,5.6238444577759,,,5.6238444577759,,,,
browsershot,default,modern-invoice,portable,concurrency-12,measured,true,1,12,"fresh browser per render",8.654854,100,100,0,0,1019.354,1206.358,1239.089,989.63873,149.97339630046,15.154358025222,12,11.434493637905,95.287446982545,160537,11.554209926591,11.554209926591,7028330496,7.726877888408,,,7.726877888408,,,,
browsershot,default,modern-invoice,portable,concurrency-16,measured,true,1,16,"fresh browser per render",8.815081,100,100,0,0,1324.515,1716.367,1796.272,1334.78851,253.80807452903,19.014853111751,16,15.1421014736,94.638134209998,160537,11.344195249028,11.344195249028,8444637184,9.6000252294902,,,9.6000252294902,,,,
browsershot,default,modern-invoice,portable,warmup,warmup,false,1,1,"fresh browser per render",2.384719,5,5,0,0,468.407,513.673,513.673,475.4628,26.188905231032,5.5080871166014,1,0.99689481234477,99.689481234477,160537,2.0966830892864,2.0966830892864,652103680,4.9796223370552,,,4.9796223370552,,,,
browsershot,default,simple-invoice,portable,first,first,true,1,1,"fresh browser per render",0.445323,1,1,0,0,441.064,441.064,441.064,441.064,,,1,0.99043615532995,99.043615532995,62885,2.245561087121,2.245561087121,616943616,21.05213519176,,,21.05213519176,,,,
browsershot,default,simple-invoice,portable,concurrency-1,measured,true,1,1,"fresh browser per render",45.735174,100,100,0,0,457.65,496.701,522.74,456.65095,28.468742778021,6.2342458234283,1,0.99846772202069,99.846772202069,62885,2.1865009194018,2.1865009194018,653418496,0.34710702095503,,,0.34710702095503,,,,
browsershot,default,simple-invoice,portable,concurrency-2,measured,true,1,2,"fresh browser per render",18.166426,100,100,0,0,360.992,390.4,433.088,362.79067,18.086844524394,4.9854767556161,2,1.9970393185759,99.851965928796,62885,5.504660080084,5.504660080084,1293254656,0.93579221361428,,,0.93579221361428,,,,
browsershot,default,simple-invoice,portable,concurrency-4,measured,true,1,4,"fresh browser per render",10.421083,100,100,0,0,414.935,445.407,454.298,416.08387,15.785880340812,3.7939178802611,4,3.992712369722,99.817809243051,62885,9.5959316320578,9.5959316320578,2591272960,2.6028964551957,,,2.6028964551957,,,,
browsershot,default,simple-invoice,portable,concurrency-8,measured,true,1,8,"fresh browser per render",8.531337,100,100,0,0,668.804,716.965,720.214,662.00651,55.624772338473,8.4024509575402,8,7.7597041354714,96.996301693392,62885,11.721492188153,11.721492188153,4981354496,5.7581830374301,,,5.7581830374301,,,,
browsershot,default,simple-invoice,portable,concurrency-12,measured,true,1,12,"fresh browser per render",8.739219,100,100,0,0,991.954,1185.485,1245.154,994.14831,140.1199784995,14.094474344527,12,11.375711147644,94.797592897031,62885,11.442670105876,11.442670105876,6936879104,7.1230621409075,,,7.1230621409075,,,,
browsershot,default,simple-invoice,portable,concurrency-16,measured,true,1,16,"fresh browser per render",8.514174,100,100,0,0,1296.015,1523.461,1678.016,1260.46581,227.73643387694,18.067640714264,16,14.804322885579,92.527018034867,62885,11.745120548394,11.745120548394,9371820032,10.027396668191,,,10.027396668191,,,,
browsershot,default,simple-invoice,portable,warmup,warmup,false,1,1,"fresh browser per render",2.298723,5,5,0,0,463.819,478.684,478.684,458.9474,20.371967560842,4.4388458374188,1,0.99826599377132,99.826599377132,62885,2.1751207083237,2.1751207083237,639139840,4.5677534874798,,,4.5677534874798,,,,
browsershot-persistent,persistent,modern-invoice,portable,first,first,true,1,1,"first connection to persistent browser",0.325284,1,1,0,0,324.638,324.638,324.638,324.638,,,1,0.99801404311309,99.801404311309,162150,3.0742366670356,3.0742366670356,140718080,12.296946668142,310677504,12.935542479802,25.232489147944,,,,
browsershot-persistent,persistent,modern-invoice,portable,concurrency-1,measured,true,1,1,"first connection to persistent browser",35.877477,100,100,0,0,363.401,397.014,405.474,357.93821,25.694213047439,7.1783934571944,1,0.99766828642939,99.766828642939,162150,2.7872639985248,2.7872639985248,148197376,0.40066919978793,491245568,15.254863448174,15.655532647962,,,,
browsershot-persistent,persistent,modern-invoice,portable,concurrency-2,measured,true,1,2,"first connection to persistent browser",15.778855,100,100,0,0,315.317,350.991,366.105,313.68254,21.171735903799,6.7494148395377,2,1.9879930451227,99.399652256136,162150,6.3375954719148,6.3375954719148,293171200,0.8476533943686,527155200,21.663059518577,22.510712912946,,,,
browsershot-persistent,persistent,modern-invoice,portable,concurrency-4,measured,true,1,4,"first connection to persistent browser",8.611844,100,100,0,0,338.022,365.507,386.698,340.10177,17.421123389107,5.1223265874526,4,3.9492328240038,98.730820600095,162150,11.611914939472,11.611914939472,582287360,1.9595106460359,545230848,29.443788403506,31.403299049542,,,,
browsershot-persistent,persistent,modern-invoice,portable,concurrency-8,measured,true,1,8,"first connection to persistent browser",6.921735,100,100,0,0,543.169,613.427,623.065,537.35166,57.924481930472,10.779622776353,8,7.7632509768143,97.040637210179,162150,14.447244802062,14.447244802062,1151754240,4.2258191046031,543051776,35.842601240874,40.068420345477,,,,
browsershot-persistent,persistent,modern-invoice,portable,concurrency-12,measured,true,1,12,"first connection to persistent browser",7.03492,100,100,0,0,813.828,985.659,1016.048,788.74623,151.23864782454,19.174563639377,12,11.21187206109,93.432267175746,162150,14.214802726968,14.214802726968,1725763584,6.3788927237268,637788160,35.102207985308,41.481100709034,,,,
browsershot-persistent,persistent,modern-invoice,portable,concurrency-16,measured,true,1,16,"first connection to persistent browser",7.427731,100,100,0,0,1159.878,1387.085,1417.08,1103.47143,224.41261908127,20.336966864767,16,14.856103835747,92.850648973421,162150,13.463061599834,13.463061599834,2292174848,7.9095486899027,700968960,34.358746298163,42.268294988066,,,,
browsershot-persistent,persistent,modern-invoice,portable,warmup,warmup,false,1,1,"first connection to persistent browser",1.827296,5,5,0,0,360.782,388.778,388.778,364.07,16.233151773454,4.4587996191541,1,0.99619875488153,99.619875488153,162150,2.7362835577816,2.7362835577816,145780736,2.8046906467261,357154816,14.450470804949,17.255161451675,,,,
browsershot-persistent,persistent,simple-invoice,portable,first,first,true,1,1,"first connection to persistent browser",0.36926,1,1,0,0,365.838,365.838,365.838,365.838,,,1,0.99073281698532,99.073281698532,62990,2.7081189405839,2.7081189405839,143572992,13.202079835346,276328448,14.084114174295,27.286194009642,,,,
browsershot-persistent,persistent,simple-invoice,portable,concurrency-1,measured,true,1,1,"first connection to persistent browser",34.655127,100,100,0,0,346.756,388.278,417.376,345.84025,26.325891718137,7.6121537959033,1,0.99794829780886,99.794829780886,62990,2.8855759207,2.8855759207,144916480,0.29216456197087,481693696,15.27096805907,15.56313262104,,,,
browsershot-persistent,persistent,simple-invoice,portable,concurrency-2,measured,true,1,2,"first connection to persistent browser",15.282791,100,100,0,0,302.363,336.856,361.7,304.56396,18.735509009818,6.1515843863529,2,1.9928556243424,99.642781217122,62990,6.5433074364493,6.5433074364493,288940032,0.7443012208961,492199936,20.550424166633,21.294725387529,,,,
browsershot-persistent,persistent,simple-invoice,portable,concurrency-4,measured,true,1,4,"first connection to persistent browser",8.452778,100,100,0,0,331.322,358.229,374.245,332.87527,17.911626770135,5.3808823858063,4,3.9380576421148,98.45144105287,62990,11.830430185201,11.830430185201,576749568,1.7893525655116,511475712,29.601259491258,31.39061205677,,,,
browsershot-persistent,persistent,simple-invoice,portable,concurrency-8,measured,true,1,8,"first connection to persistent browser",6.798709,100,100,0,0,527.75,603.476,614.283,519.07393,62.990243139496,12.135119777542,8,7.6348896533151,95.436120666438,62990,14.70867483812,14.70867483812,1151356928,3.9529563627448,512536576,33.907652541093,37.860608903837,,,,
browsershot-persistent,persistent,simple-invoice,portable,concurrency-12,measured,true,1,12,"first connection to persistent browser",6.690547,100,100,0,0,760.245,920.128,983.788,755.01355,107.56695940222,14.247023699405,12,11.284780601646,94.039838347049,62990,14.94646102927,14.94646102927,1706356736,5.7357044199824,569532416,35.436713918907,41.172418338889,,,,
browsershot-persistent,persistent,simple-invoice,portable,concurrency-16,measured,true,1,16,"first connection to persistent browser",6.913415,100,100,0,0,1062.368,1367.782,1482.368,1032.2146,245.38899902762,23.77306027522,16,14.930603760949,93.31627350593,62990,14.464631444807,14.464631444807,2288758784,8.0459512411739,642084864,34.795446606344,42.841397847518,,,,
browsershot-persistent,persistent,simple-invoice,portable,warmup,warmup,false,1,1,"first connection to persistent browser",1.855325,5,5,0,0,358.543,399.298,399.298,370.1522,23.70511791154,6.4041542672284,1,0.99754005362942,99.754005362942,62990,2.6949456294719,2.6949456294719,143376384,2.7623192702087,363610112,13.918713702451,16.68103297266,,,,
dompdf,default,modern-invoice,portable,first,first,true,1,1,"fresh worker",0.102605,1,1,0,0,100.38,100.38,100.38,100.38,,,1,0.97831489693485,97.831489693485,25263,9.7461137371473,9.7461137371473,68210688,7.3095853028605,,,7.3095853028605,,,,
dompdf,default,modern-invoice,portable,concurrency-1,measured,true,1,1,"fresh worker",6.898471,100,100,0,0,67.514,74.692,76.882,68.59246,4.3786426576779,6.3835626505856,1,0.99431395739723,99.431395739723,25263,14.495965845185,14.495965845185,79056896,12.502770541472,,,12.502770541472,,,,
dompdf,default,modern-invoice,portable,concurrency-2,measured,true,1,2,"fresh worker",3.451745,100,100,0,0,66.209,75.871,117.89,68.3147,7.8912216072384,11.551279017896,2,1.9791351910411,98.956759552053,25263,28.970853872462,28.970853872462,157974528,24.48037152223,,,24.48037152223,,,,
dompdf,default,modern-invoice,portable,concurrency-4,measured,true,1,4,"fresh worker",1.72521,100,100,0,0,65.399,76.758,98.833,68.10482,7.014944338217,10.300217133262,4,3.9476249268205,98.690623170513,25263,57.963958010909,57.963958010909,316424192,48.254995044082,,,48.254995044082,,,,
dompdf,default,modern-invoice,portable,concurrency-8,measured,true,1,8,"fresh worker",0.990202,100,100,0,0,68.495,103.162,119.007,72.33148,12.4161847598,17.165672207731,8,7.3047196430627,91.308995538284,25263,100.98949507272,100.98949507272,622120960,85.714833942973,,,85.714833942973,,,,
dompdf,default,modern-invoice,portable,concurrency-12,measured,true,1,12,"fresh worker",1.049261,100,100,0,0,76.394,206.629,212.551,103.13496,44.17912993389,42.836231219647,12,9.8292950943569,81.910792452974,25263,95.305171925765,95.305171925765,893505536,57.540497550181,,,57.540497550181,,,,
dompdf,default,modern-invoice,portable,concurrency-16,measured,true,1,16,"fresh worker",1.020986,100,100,0,0,143.594,263.986,305.67,150.97405,44.465453145809,29.452381482651,16,14.787083270486,92.419270440535,25263,97.944535968172,97.944535968172,1212153856,79.090212794299,,,79.090212794299,,,,
dompdf,default,modern-invoice,portable,warmup,warmup,false,1,1,"fresh worker",0.364485,5,5,0,0,65.673,99.009,99.009,72.4704,14.897648079479,20.556872984665,1,0.99414790732129,99.414790732129,25263,13.717985650987,13.717985650987,74555392,13.032086368438,,,13.032086368438,,,,
dompdf,default,simple-invoice,portable,first,first,true,1,1,"fresh worker",0.17922,1,1,0,0,176.036,176.036,176.036,176.036,,,1,0.98223412565562,98.223412565562,28491,5.5797344046423,5.5797344046423,74088448,12.554402410445,,,12.554402410445,,,,
dompdf,default,simple-invoice,portable,concurrency-1,measured,true,1,1,"fresh worker",13.834706,100,100,0,0,137.13,147.188,156.682,137.9791,5.2528529612319,3.8069917554412,1,0.99734031211072,99.734031211072,28491,7.2281984163596,7.2281984163596,91725824,12.477677516241,,,12.477677516241,,,,
dompdf,default,simple-invoice,portable,concurrency-2,measured,true,1,2,"fresh worker",7.08481,100,100,0,0,137.187,150.725,163.414,139.0555,6.5859382119265,4.7361939742955,2,1.9627272996735,98.136364983676,28491,14.114704558062,14.114704558062,182382592,24.136144794285,,,24.136144794285,,,,
dompdf,default,simple-invoice,portable,concurrency-4,measured,true,1,4,"fresh worker",3.553857,100,100,0,0,137.75,154.344,168.57,139.93865,8.1979526076375,5.8582476018152,4,3.9376556231722,98.441390579306,28491,28.138442261464,28.138442261464,365129728,48.116736267104,,,48.116736267104,,,,
dompdf,default,simple-invoice,portable,concurrency-8,measured,true,1,8,"fresh worker",1.915782,100,100,0,0,140.451,169.215,180.455,143.28875,11.535201890476,8.0503192961597,8,7.4793870074988,93.492337593735,28491,52.198005827385,52.198005827385,728715264,86.257204629754,,,86.257204629754,,,,
dompdf,default,simple-invoice,portable,concurrency-12,measured,true,1,12,"fresh worker",2.01342,100,100,0,0,147.109,352.027,491.344,199.50342,86.942468862708,43.579437817511,12,9.9086837321572,82.572364434644,28491,49.666736200097,49.666736200097,1079406592,55.564661123859,,,55.564661123859,,,,
dompdf,default,simple-invoice,portable,concurrency-16,measured,true,1,16,"fresh worker",1.975733,100,100,0,0,290.342,370.011,390.657,292.7702,43.441254323186,14.838004114895,16,14.818307939382,92.614424621141,28491,50.614126503936,50.614126503936,1455325184,81.868349620116,,,81.868349620116,,,,
dompdf,default,simple-invoice,portable,warmup,warmup,false,1,1,"fresh worker",0.710896,5,5,0,0,135.119,166.398,166.398,141.6672,14.152875421624,9.9902273932312,1,0.99639891067048,99.639891067048,28491,7.033377596723,7.033377596723,89907200,12.484245234183,,,12.484245234183,,,,
gotenberg,default,modern-invoice,portable,first,first,true,1,1,"first request after controlled container restart",0.275186,1,1,0,0,272.56,272.56,272.56,272.56,,,1,0.99045736338331,99.045736338331,146708,3.6339057946262,3.6339057946262,61915136,2.7254293459696,164241408,27.862245899137,30.587675245107,1,1,,
gotenberg,default,modern-invoice,portable,concurrency-1,measured,true,1,1,"first request after controlled container restart",20.894972,100,100,0,0,205.67,231.727,284.467,207.85586,29.100914644246,14.00052644378,1,0.99476496068049,99.476496068049,146708,4.785840344749,4.785840344749,106405888,0.40081412887273,239947776,33.056088206292,33.456902335165,1,1,,
gotenberg,default,modern-invoice,portable,concurrency-2,measured,true,1,2,"first request after controlled container restart",10.241361,100,100,0,0,192.444,251.357,296.644,199.08219,48.298770380796,24.260718842201,2,1.9439036471813,97.195182359063,146708,9.7643272217433,9.7643272217433,167718912,0.63468126941331,423407616,46.053150308831,46.687831578244,2,2,,
gotenberg,default,modern-invoice,portable,concurrency-4,measured,true,1,4,"first request after controlled container restart",6.868299,100,100,0,0,251.701,329.257,589.069,266.08705,79.943885396131,30.044260100644,4,3.8741331732937,96.853329332343,146708,14.559645699758,14.559645699758,289222656,0.87357874198546,472793088,58.62257707476,59.496155816746,4,4,,
gotenberg,default,modern-invoice,portable,concurrency-8,measured,true,1,8,"first request after controlled container restart",6.275858,100,100,0,0,447.858,575.667,607.451,454.54868,75.583970107221,16.628355428779,8,7.2428133332526,90.535166665657,146708,15.934076264951,15.934076264951,534294528,0.97596217122822,426221568,61.765793617383,62.741755788611,6,8,,
gotenberg,default,modern-invoice,portable,concurrency-12,measured,true,1,12,"first request after controlled container restart",6.234201,100,100,0,0,702.873,817.622,1081.353,688.49983,147.45528364829,21.416894706901,12,11.043914528903,92.03262107419,146708,16.040547938701,16.040547938701,783552512,1.1027876707857,435961856,61.794935710286,62.897723381072,6,12,,
gotenberg,default,modern-invoice,portable,concurrency-16,measured,true,1,16,"first request after controlled container restart",6.420833,100,100,0,0,966.487,1268.771,1376.828,937.77432,207.4612859362,22.122730545255,16,14.605181601826,91.282385011415,146708,15.574303209568,15.574303209568,1030148096,1.2264763777535,554610688,60.742895431169,61.969371808923,6,16,,
gotenberg,default,modern-invoice,portable,warmup,warmup,false,1,1,"first request after controlled container restart",1.11392,5,5,0,0,222.962,248.169,248.169,221.2788,21.943787747333,9.9168052914843,1,0.99324367997702,99.324367997702,146708,4.4886526860098,4.4886526860098,64135168,0.78551422005171,249438208,32.629890387101,33.415404607153,1,1,,
gotenberg,default,simple-invoice,portable,first,first,true,1,1,"first request after controlled container restart",0.197039,1,1,0,0,194.06,194.06,194.06,194.06,,,1,0.98488116565756,98.488116565756,31379,5.0751374093454,5.0751374093454,61030400,1.2687843523363,163745792,6.5143195002005,7.7831038525368,1,1,,
