renderer,variant,template,asset_mode,scenario,phase,measured,attempt,concurrency,cold_label,duration_seconds,attempted,successful,failures,timeouts,p50_ms,p95_ms,p99_ms,mean_ms,stddev_ms,cv_pct,peak_in_flight,average_in_flight,worker_utilization_pct,mean_pdf_bytes,attempted_throughput,successful_throughput,application_peak_rss_bytes,application_cpu_utilization_pct,render_service_peak_memory_bytes,render_service_cpu_utilization_pct,observed_cpu_utilization_pct,render_service_peak_active_requests,render_service_peak_queue_size,declared_concurrency_limit,over_declared_concurrency
bladepdf,default,javascript-chart,portable,representative,fidelity,false,1,1,"first observed API request",0.960195,1,1,0,0,953.494,953.494,953.494,953.494,,,1,0.99302120923354,99.302120923354,60283,1.0414551210952,1.0414551210952,84488192,4.4261842646546,,,4.4261842646546,,,8,false
bladepdf,default,local-assets,documented-remediation,representative,fidelity,false,1,1,"first observed API request",0.591415,1,1,0,0,590.875,590.875,590.875,590.875,,,1,0.99908693556978,99.908693556978,62769,1.6908600559675,1.6908600559675,84467712,6.340725209878,,,6.340725209878,,,8,false
bladepdf,default,local-assets,native-path,representative,fidelity,false,1,1,"first observed API request",0.758364,1,1,0,0,499.785,499.785,499.785,499.785,,,1,0.65903049195373,65.903049195373,61022,1.3186279939449,1.3186279939449,84463616,11.867651945504,,,11.867651945504,,,8,false
bladepdf,default,long-report,portable,representative,fidelity,false,1,1,"first observed API request",0.816936,1,1,0,0,812.163,812.163,812.163,812.163,,,1,0.99415743705749,99.415743705749,364059,1.2240860973197,1.2240860973197,84525056,5.2023659136089,,,5.2023659136089,,,8,false
bladepdf,default,modern-invoice,portable,representative,fidelity,false,1,1,"first observed API request",0.648432,1,1,0,0,646.41,646.41,646.41,646.41,,,1,0.99688170849064,99.688170849064,160537,1.542181755373,1.542181755373,84475904,6.1687270214918,,,6.1687270214918,,,8,false
bladepdf,default,simple-invoice,portable,representative,fidelity,false,1,1,"first observed API request",0.862608,1,1,0,0,860.704,860.704,860.704,860.704,,,1,0.99779274015544,99.779274015544,63798,1.1592751284477,1.1592751284477,84303872,4.3472817316788,,,4.3472817316788,,,8,false
browsershot,default,javascript-chart,portable,representative,fidelity,false,1,1,"fresh browser per render",2.792193,1,1,0,0,2787.002,2787.002,2787.002,2787.002,,,1,0.99814088782545,99.814088782545,60283,0.35814143220042,0.35814143220042,875085824,37.783921097145,,,37.783921097145,,,,
browsershot,default,local-assets,documented-remediation,representative,fidelity,false,1,1,"fresh browser per render",2.663235,1,1,0,0,2658.153,2658.153,2658.153,2658.153,,,1,0.99809179437789,99.809179437789,61652,0.37548319994293,0.37548319994293,864858112,37.266707594335,,,37.266707594335,,,,
browsershot,default,local-assets,native-path,representative,fidelity,false,1,1,"fresh browser per render",2.723468,1,1,0,0,2462.757,2462.757,2462.757,2462.757,,,1,0.90427242031116,90.427242031116,29963,0.36717890571874,0.36717890571874,853139456,36.075327486866,,,36.075327486866,,,,
browsershot,default,long-report,portable,representative,fidelity,false,1,1,"fresh browser per render",3.009387,1,1,0,0,3007.296,3007.296,3007.296,3007.296,,,1,0.99930517411021,99.930517411021,364059,0.33229358670055,0.33229358670055,881049600,38.961423040639,,,38.961423040639,,,,
browsershot,default,modern-invoice,portable,representative,fidelity,false,1,1,"fresh browser per render",3.125919,1,1,0,0,3120.158,3120.158,3120.158,3120.158,,,1,0.99815702198298,99.815702198298,160537,0.31990592206644,0.31990592206644,864493568,37.98882824539,,,37.98882824539,,,,
browsershot,default,simple-invoice,portable,representative,fidelity,false,1,1,"fresh browser per render",2.653715,1,1,0,0,2648.641,2648.641,2648.641,2648.641,,,1,0.99808796347762,99.808796347762,62885,0.37683021726146,0.37683021726146,849448960,38.342474606354,,,38.342474606354,,,,
cloudflare,default,javascript-chart,portable,representative,fidelity,false,1,1,"first observed API request",0.8066,1,1,0,0,800.808,800.808,800.808,800.808,,,1,0.99281924125961,99.281924125961,41688,1.2397718819737,1.2397718819737,82333696,3.7193156459212,,,3.7193156459212,,,,
cloudflare,default,local-assets,native-path,representative,fidelity,false,1,1,"first observed API request",0.847419,1,1,0,0,846.785,846.785,846.785,846.785,,,1,0.99925184589914,99.925184589914,34541,1.1800537868516,1.1800537868516,82145280,3.5401613605548,,,3.5401613605548,,,,
cloudflare,default,local-assets,documented-remediation,representative,fidelity,false,1,1,"first observed API request",0.806282,1,1,0,0,539.797,539.797,539.797,539.797,,,1,0.66948908694477,66.948908694477,77641,1.2402608516623,1.2402608516623,82333696,10.54221723913,,,10.54221723913,,,,
